Title,Author,Genre,Subject,Summary
Find the Pirates,David Long (illustrated by Harry Bloom),Children's Search-and-Find Nonfiction,"Pirates, Maritime History","Explore-and-find spreads of pirate ships, ports and battles, teaching real pirate history through the hunt for hidden characters and objects."
Finger Knitting for Kids,Eriko Teranishi,Craft Instruction,"Finger Knitting, Children's Crafts","Finger-knitting projects for children, from cords and scarves to toys."
Finger Knitting Fun,Vickie Howell,Craft Instruction,"Finger Knitting, Children's Crafts","Twenty-eight projects made by finger knitting, no needles required."
Fire & Blood,George R.R. Martin,Fantasy,"Targaryens, Westeros History, Dragons","A fictional history of the Targaryen kings, written as an archmaester's chronicle of the three hundred years before A Game of Thrones. Source material for House of the Dragon."
Firefly Encyclopedia of Animals,Firefly Books,Reference,"Animals, Zoology","A photographic encyclopedia of the animal kingdom organized by group, with distribution, behavior and conservation notes."
"Fix It! Grammar: The Nose Tree, Teacher's Manual Book 1",Pamela White (Institute for Excellence in Writing),Teaching Guide / Grammar,"Grammar, Editing, Composition","A grammar course taught by correcting one sentence a day from an ongoing story, with the teacher's key and instruction notes."
Flat Stanley: On Ice,Jeff Brown,Early Reader / I Can Read,"Adventure, Humor","Flattened-by-a-bulletin-board Stanley Lambchop takes to the ice, using his unusual shape to save the day."
Flip-o-saurus,Sara Ball,Children's Novelty / Flipbook,"Dinosaurs, Paleontology","A three-way split-page flipbook of dinosaurs whose heads, bodies and tails can be recombined into invented species, with the real animals named on each panel."
Flower Fairies of the Winter,Cicely Mary Barker,Children's Poetry / Picture Book,"Fairies, Winter Plants, Botanical Illustration","Poems paired with Barker's botanically precise fairy paintings, one for each winter plant. Part of the Flower Fairies series first published in the 1920s."
Folktales for Fearless Girls,Myriam Sayalero (illustrated by Dani Torrent),Children's Anthology,"Folklore, Girls, Courage","Traditional tales from around the world in which the girls and women do the rescuing, the outwitting and the deciding."
For the Wolf,Hannah Whitten,Fantasy,"Fairy Tale Retelling, Forests, Sacrifice","The second daughter is given to the Wolf in the Wilderwood as her kingdom has always required. First of the Wilderwood duology, drawing on Red Riding Hood and Beauty and the Beast."
Form Drawing,Hans R. Niederhauser & Margaret Frohlich,Teaching Guide / Waldorf Curriculum,"Form Drawing, Geometry, Waldorf","The classic short Waldorf guide to form drawing, explaining the purpose of the practice and giving sequences of forms for the grades."
Form Drawing for Beginners,Donna Simmons (Christopherus Homeschool Resources),Teaching Guide / Waldorf Curriculum,"Form Drawing, Homeschool, Waldorf","A beginner's form drawing guide from the Christopherus Curriculum, with running forms and exercises for the early grades."
Form Drawing: Grades One through Four,Laura Embrey-Stine & Ernst Schuberth,Teaching Guide / Waldorf Curriculum,"Form Drawing, Grades 1-4, Waldorf","Sequenced form drawing exercises for grades one through four, from straight and curved lines through knotted and mirrored forms. Published by RSCP."
"Foundations B, Reader 2: Max",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Dogs","A decodable Level B reader from the Logic of English Foundations curriculum, following a floppy-eared dog named Max using only the phonograms taught to that point."
"Foundations B, Reader 4: Can Pete Pick a Pet?",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Pets","A Level B decodable reader from the Logic of English Foundations curriculum, following Pete as he tries to choose a pet using only the phonograms taught to that point."
"Foundations B, Reader 5: Quite a Farm!",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Farm Animals","A Level B decodable reader touring a noisy farmyard and its animals, reinforcing the phonograms and spelling rules from that stage of the curriculum."
"Foundations B, Reader 6: Kids Just Want to Have Fun",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Play, Everyday Life","A photo-illustrated Level B reader about the ways kids play, closing out the B-level decodable sequence."
"Foundations C, Reader 2: Firefly!",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Insects, Nature","A Level C decodable nonfiction reader on fireflies and how they light up, using the phonograms introduced in Level C."
"Foundations C, Reader 3: Kids Can Do Great Things!",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Achievement, Children",A Level C decodable reader profiling real children who have accomplished remarkable things.
"Foundations C, Reader 4: Ostriches",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Birds, Animals","A Level C decodable nonfiction reader about ostriches — their size, speed, eggs and habits."
"Foundations C, Reader 5: Robots",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Robots, Technology",A Level C decodable nonfiction reader on what robots are and the jobs they do.
"Foundations C, Reader 6: Dolphins",Denise Eide & Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Dolphins, Ocean Animals","A Level C decodable nonfiction reader on dolphins, their pods, communication and life in the sea."
"Foundations C, Reader 8: Rickshaws",Kimber Iverson,Early Reader / Phonics Curriculum,"Phonics, Transportation, World Cultures",A Level C decodable nonfiction reader about rickshaws and how people get around in different parts of the world.
"Foundations D, Reader 1: The Arctic and the Antarctic — Polar Opposites",Denise Eide,Early Reader / Phonics Curriculum,"Phonics, Polar Regions, Animals",A Level D decodable nonfiction reader comparing the two polar regions and the animals — polar bears and penguins among them — that live at each end of the earth.
"Foundations D, Reader 2: Baby Birds",Logic of English,Early Reader / Phonics Curriculum,"Phonics, Birds, Nature","A Level D decodable nonfiction reader on how baby birds hatch, grow and leave the nest."
"Foundations D, Reader 3: Bears, Bears, and More Bears",Logic of English,Early Reader / Phonics Curriculum,"Phonics, Bears, Animals",A Level D decodable nonfiction reader surveying bear species around the world and how they live.
"Foundations D, Reader 4: Carp — Unexpected Consequences",Logic of English,Early Reader / Phonics Curriculum,"Phonics, Invasive Species, Ecology",A Level D decodable nonfiction reader on carp as an introduced species and the unintended effects on rivers and lakes.
"Foundations D, Reader 5: My Nest is Best!",Miriam Eide,Early Reader / Phonics Curriculum,"Phonics, Birds, Nests",A Level D decodable nonfiction reader comparing the remarkable nests different birds build.
"Foundations D, Reader 6: Frog or Toad?",Miriam Eide,Early Reader / Phonics Curriculum,"Phonics, Amphibians, Nature","A Level D decodable nonfiction reader on how to tell frogs and toads apart, with photographs of each."
"Foundations D, Reader 8: Mouse and Mole",Logic of English,Early Reader / Phonics Curriculum,"Phonics, Animals, Friendship","A Level D decodable reader featuring a mouse and a mole, closing out the D-level sequence."
Fox Tales: The Folklore and Natural History of the Fox,Brian 'Fox' Ellis,Folklore / Natural History,"Foxes, Folklore, Storytelling",A storyteller's collection pairing fox folktales from around the world with the natural history of the animal behind the legends.
Free at Last! Stories and Songs of Emancipation,Doreen Rappaport (illustrated by Shane W. Evans),Children's Nonfiction,"Reconstruction, African American History","Stories, songs and firsthand voices from the years between emancipation and the end of segregation."
Frog and Toad,Arnold Lobel,Early Reader,"Friendship, Humor","The classic gentle stories of two amphibian friends — lost buttons, unwilling seeds, cookies best given away — in Lobel's understated prose."
Frog and Toad Are Friends,Arnold Lobel,Early Reader,"Friendship, Humor","The first collection: a lost button, a swimsuit, a letter that takes days to arrive, and spring refusing to come."
Frog and Toad Together,Arnold Lobel,Early Reader,"Friendship, Humor","Five more stories of the two friends — a list that blows away, a garden that won't grow, cookies and willpower, and a dream about being alone."
"Frog, Bee and Snail Look for Snow",Loek Koopmans,Children's Picture Book,"Seasons, Winter, Friendship","Three small friends set out to find snow, which none of them has ever seen, in a gentle watercolor tale of curiosity and the turning year."
Garden of Fairytale Animals Coloring Book,Kanoko Egusa,Coloring Book,"Animals, Fairy Tales, Coloring","Intricate fairytale animal illustrations to color, in the Design Originals style."
Gesture Games for Autumn and Winter,Wilma Ellersiek,Teaching Guide / Waldorf Curriculum,"Hand Gesture Games, Movement, Early Childhood","Hand gesture games, songs, and movement games for the autumn and winter seasons, for children in kindergarten and the lower grades."
Gesture Games for Spring and Summer,Wilma Ellersiek,Teaching Guide / Waldorf Curriculum,"Hand Gesture Games, Movement, Early Childhood","Hand gesture games, songs, and movement games for the spring and summer seasons, for children in kindergarten and the lower grades."
Gilgamesh the Hero,Geraldine McCaughrean (illustrated by David Parkins),Children's Illustrated Classic,"Mesopotamian Mythology, Epic","A retelling of the world's oldest epic: Gilgamesh and Enkidu's friendship, the killing of Humbaba, and the king's failed search for immortality."
Girl in Pieces,Kathleen Glasgow,Young Adult Fiction,"Self-Harm, Recovery, Trauma",Charlie leaves a treatment facility and tries to build a life in Tucson. A frank novel about self-harm and recovery; deluxe edition.
Girls Who Code: Learn to Code and Change the World,Reshma Saujani,Middle Grade Nonfiction,"Computer Science, Coding, Girls in STEM","An illustrated beginner's guide to programming for tweens and teens from the founder of Girls Who Code, covering loops, variables, functions and algorithms in plain language alongside profiles of real women and girls working in tech."
Gnomes,Wil Huygen (illustrated by Rien Poortvliet),Illustrated Fantasy Reference,"Gnomes, Folklore","The classic illustrated natural history of gnomes, documenting their anatomy, homes, crafts, medicine and daily life as though from field research."
"Gnomes & Friends (Tales of Limindoor Woods, Book 2)",Sieglinde De Francesca,Children's Chapter Book / Fantasy,"Gnomes, Friendship, Waldorf","The continuing adventures of Gus and the gnomes of Limindoor Woods, who welcome new gnomes and animal friends, follow an adventure that leads to a mystery, and learn to be honest, brave, patient and generous. Includes discussion questions and a recipe."
Gods and Heroes: Mythology Around the World,Korwin Briggs,Children's Nonfiction,"World Mythology, Gods","Illustrated profiles of gods, heroes and monsters from dozens of world traditions, told with humor and a comics sensibility."
Gods of Jade and Shadow,Silvia Moreno-Garcia,Fantasy,"Maya Mythology, Jazz Age Mexico, Road Trip",A young woman in 1920s Mexico accidentally frees a Mayan death god and is bound to help him reclaim his throne.
Going Solo,Roald Dahl,Memoir,"East Africa, RAF, World War II","Dahl's second memoir, covering his work in Tanganyika and his service as an RAF fighter pilot. Sequel to Boy."
Golden Son,Pierce Brown,Science Fiction,"Mars, Political Intrigue, War","Darrow moves from the Institute into the wider war among the Golds, where the betrayals get bigger and costlier. Second of the Red Rising saga."
Goldilocks and the Three Dinosaurs,Mo Willems,Children's Picture Book,"Fairy Tale Parody, Humor","Willems's retelling in which three dinosaurs set an obvious trap with chocolate pudding, and a poorly-supervised girl walks right into it."
Good Night Yoga: A Pose-by-Pose Bedtime Story,Mariam Gates (illustrated by Sarah Jane Hinder),Children's Picture Book,"Yoga, Bedtime, Relaxation","A bedtime story told through gentle yoga poses that follow the natural world settling into night, helping children wind down for sleep."
Good Night Zoo,Adam Gamble (illustrated by Cooper Kelly),Children's Board Book,"Zoo Animals, Bedtime, Seasons","A bedtime board book in the Good Night Our World series that walks a family through a day at the zoo and around the four seasons. Features gorillas, elephants, giraffes, penguins, and many more. (Well loved and worn.)"
Goodnight Songs,Margaret Wise Brown,Children's Picture Book / Songbook,"Lullabies, Bedtime, Poetry","Twelve previously unpublished lullaby poems by the author of Goodnight Moon, each illustrated by a different artist and set to music on an accompanying CD."
Grammar-Land: Grammar in Fun for the Children of Schoolroom-Shire,M. L. Nesbitt,Children's Instructional / Classic,"Grammar, Parts of Speech","An 1877 classic in which the nine parts of speech appear as characters — Mr. Noun, Little Article, Serjeant Parsing and Judge Grammar — arguing their claims in a courtroom, teaching grammar through story and trial."
Grandfather Gandhi,Arun Gandhi & Bethany Hegedus (illustrated by Evan Turk),Children's Picture Book / Biography,"Anger, Nonviolence, Family","Arun Gandhi's memory of struggling with his own anger while living at his grandfather's ashram, and Gandhi's lesson that anger, like lightning, can be turned into light."
Greetings from Somewhere #10: The Mystery of the Secret Society,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Athens Greece","Ethan and Ella follow clues through the caves and ruins of Athens to uncover a secret society, in the tenth Greetings from Somewhere mystery."
Greetings from Somewhere #1: The Mystery of the Gold Coin,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Paris","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #2: The Mystery of the Mosaic,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Venice","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #3: The Mystery of the Stolen Painting,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Amsterdam","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #4: The Mystery in the Forbidden City,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Beijing","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #5: The Mystery of the Lion's Tail,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Kenya","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #6: The Mystery of the Suspicious Spices,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, India","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #7: The Mystery Across the Secret Bridge,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Prague","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #8: The Mystery at the Coral Reef,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Australia","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Greetings from Somewhere #9: The Mystery of the Icy Paw Prints,Harper Paris (illustrated by Marcos Calo),Children's Chapter Book / Mystery,"Travel, Mystery, Iceland","Ethan and Ella Briar travel the world with their journalist mother and solve a mystery in each new city, in this early chapter-book mystery series."
Grim and Oro: Dueling Crowns Edition,Alex Aster,Young Adult Fantasy / Romance,"Lightlark, Companion Novellas, Romance","A dual-sided companion volume to the Lightlark Saga: two novel-length stories bound back to back, one told by Grim and one by Oro. The spine carries both titles, one reading from each end."
Grimm's Complete Fairy Tales,Jacob & Wilhelm Grimm,Folktale Anthology,"German Folklore, Fairy Tales, Classic",A complete collected edition of the Grimms' household tales in a decorative leather-look binding. Distinct from the Noel Daniel illustrated edition also on hand.
Grimm's Fairy Tales (illustrated by Arthur Rackham),Jacob & Wilhelm Grimm (illustrated by Arthur Rackham),Folktale Anthology,"Fairy Tales, German Folklore, Illustrated Classic","A selection of the Grimms' tales in the classic Arthur Rackham edition, with his pen-and-ink and watercolor plates. A fourth distinct Grimm edition in this collection."
Guess How Much I Love You,Sam McBratney (illustrated by Anita Jeram),Children's Picture Book,"Love, Parent and Child, Bedtime",Little Nutbrown Hare and Big Nutbrown Hare try to outdo each other describing how much they love one another. A modern bedtime classic from Candlewick Press.
Guinness World Records 2024,Guinness World Records,Reference,"World Records, Trivia","The annual compendium of record-breaking feats, animals, objects and people, with photographs throughout."
Hans Christian Andersen: Complete Fairy Tales,Hans Christian Andersen,Folktale Anthology,"Fairy Tales, Denmark, Classic","A collected edition of Andersen's tales, from The Little Mermaid and The Snow Queen to the lesser-known stories. Decorative gift-edition binding."
Happy Pig Day!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Belonging, Friendship, Celebration","Piggie throws herself into celebrating Pig Day and Gerald feels left out, until he learns the day is for everyone who loves a pig."
Happy Town,Greg van Eekhout,Children's Chapter Book / Science Fiction,"Company Town, Dystopia, Zombies","Keegan's family moves to a spotless high-tech company town, and he works out that the system keeping everyone happy is turning them into meat-craving zombies. A middle-grade satire of corporate life."
Harry Potter and the Chamber of Secrets,J.K. Rowling,Children's Chapter Book / Fantasy,"Wizarding School, Mystery, Magic",Something is petrifying students at Hogwarts and the Chamber of Secrets has been opened. Book two of seven. (Also on hand: the Jim Kay illustrated edition.)
Harry Potter and the Deathly Hallows,J.K. Rowling,Children's Chapter Book / Fantasy,"Horcruxes, Quest, War","Harry, Ron, and Hermione leave school to hunt Horcruxes, and the war reaches Hogwarts. Book seven of seven. (Two copies on hand: one in the boxed set, one separate hardcover.)"
Harry Potter and the Goblet of Fire,J.K. Rowling,Children's Chapter Book / Fantasy,"Triwizard Tournament, Return of Voldemort, Magic",Harry is entered against his will in the Triwizard Tournament and the fourth task ends in Voldemort's return. Book four of seven. (Also on hand: the Jim Kay illustrated edition.)
Harry Potter and the Half-Blood Prince,J.K. Rowling,Children's Chapter Book / Fantasy,"Horcruxes, Memory, Magic","Dumbledore takes Harry through Voldemort's past while a mysterious potions textbook rewrites Harry's sixth year. Book six of seven. (Two copies on hand: one in the boxed set, one separate hardcover.)"
Harry Potter and the Order of the Phoenix,J.K. Rowling,Children's Chapter Book / Fantasy,"Resistance, Ministry of Magic, Prophecy","The Ministry denies Voldemort's return while Harry and his friends form Dumbledore's Army. Book five of seven. (Two copies on hand: one in the boxed set, one separate hardcover.) (Also on hand: the illustrated edition by Jim Kay with Neil Packer.)"
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Children's Chapter Book / Fantasy,"Wizarding School, Time Travel, Magic","An escaped prisoner is said to be hunting Harry, and the truth about his parents' betrayal comes out. Book three of seven. (Also on hand: the Jim Kay illustrated edition.)"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Children's Chapter Book / Fantasy,"Wizarding School, Friendship, Magic","Harry learns he is a wizard and arrives at Hogwarts for his first year. Book one of seven. (Two copies on hand: one in the boxed set, one separate hardcover.) (Also on hand: the Jim Kay illustrated edition, published in the UK as Harry Potter and the Philosopher's Stone.)"
Harry Potter Crochet,Lee Sartori,Craft Instruction,"Crochet, Amigurumi, Media Tie-In","Crochet patterns for characters and creatures from the wizarding world, with step-by-step instructions."
Haunting Adeline,H.D. Carlton,Dark Romance / Thriller,"Stalker Romance, Suspense, Dark Themes","Adeline inherits her great-grandmother's mansion and is pursued by a man watching her from the shadows, while she uncovers a trafficking ring tied to the house. First of the Cat and Mouse duet; adult content."
Heart and Soul: The Story of America and African Americans,Kadir Nelson,Children's Nonfiction / Illustrated History,"African American History, American History","A sweeping narrative history of America told in the voice of one elderly African American narrator, illustrated with Nelson's oil paintings."
Hello Nature Activity Cards,Nina Chakrabarti,Activity Cards,"Nature Study, Drawing",A card deck of nature observation and drawing prompts for use outdoors.
Hello Ruby: Adventures in Coding,Linda Liukas,Children's Picture Book / Instructional,"Coding, Computational Thinking","Ruby's imaginative adventures teach the logic behind programming — sequences, loops and problem decomposition — with exercises."
Hiawatha and the Peacemaker,Robbie Robertson (illustrated by David Shannon),Children's Picture Book,"Haudenosaunee History, Peace","The Mohawk story of Hiawatha, grieving and vengeful, who is turned by the Peacemaker toward founding the Iroquois Confederacy."
Holistic Goat Care,Gianaclis Caldwell,Reference,"Goats, Animal Husbandry, Homesteading","A comprehensive guide to raising healthy goats, covering anatomy, nutrition, breeding, and treatment. Chelsea Green."
Hooked on Amigurumi,Melanie Morita,Craft Instruction,"Crochet, Amigurumi",Crochet patterns for small stuffed animals and characters in the amigurumi style.
Hooky Vol. 3,Miriam Bonastre Tur,Children's Graphic Novel,"Witches, Magic School, Siblings",Twin witches Dani and Dorian keep tangling with prophecy and politics. Third volume of the Hooky series.
Houses of Adobe,Bonnie Shemie,Children's Nonfiction,"Indigenous Architecture, Southwest","The adobe building traditions of the Southwest, illustrated with cross-sections and construction sequences."
Houses of Bark,Bonnie Shemie,Children's Nonfiction,"Indigenous Architecture, Native Peoples","How the woodland peoples of northeastern North America built with bark, part of Shemie's Native Dwellings series."
Houses of Hide and Earth,Bonnie Shemie,Children's Nonfiction,"Indigenous Architecture, Plains","Tipis, earth lodges and other dwellings of the Plains peoples, with detailed diagrams of their construction."
Houses of Wood,Bonnie Shemie,Children's Nonfiction,"Indigenous Architecture, Northwest Coast","The plank houses of the Northwest Coast peoples, how they were built and how families lived in them."
How Birds Work: An Illustrated Guide to the Wonders of Form and Function,Marianne Taylor,Illustrated Nonfiction,"Ornithology, Anatomy, Nature","How feathers, bones, beaks, and behavior fit together, explained through cutaway illustrations and photographs."
How Science Works,Judith Hann,Children's Reference,"Science, Experiments",A Reader's Digest guide explaining scientific principles through everyday phenomena and hands-on experiments.
"How to Build a Story... or, The Big What If",Frances O'Roark Dowell (illustrated by Stacy Ebert),Children's Instructional,"Creative Writing, Storytelling","A friendly guide for young writers on building a story from the ground up — character, setting, plot and the big what-if question that sets everything in motion."
How to Create Manga: Drawing the Human Body,Matsu,Art Instruction,"Manga, Anatomy, Drawing","Manga-style instruction in drawing the human figure, proportion and movement."
Howl Like a Wolf!,Kathleen Yale,Children's Activity Book,"Animals, Behavior, Play","Fifteen animals to learn by acting like them — moving, communicating and hunting the way they do."
Hunting Adeline,H.D. Carlton,Dark Romance / Thriller,"Stalker Romance, Suspense, Dark Themes","The second half of the Cat and Mouse duet, following the events of Haunting Adeline. Adult content."
I Am Gandhi: A Graphic Biography of a Hero,Brad Meltzer (illustrated by various artists),Children's Graphic Biography,"Biography, Nonviolence, History","A graphic-novel life of Mohandas Gandhi, drawn by a roster of comics artists, tracing his path from a shy boy to the leader of nonviolent resistance."
I Am Going!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Friendship, Separation Anxiety",Piggie's simple announcement that she is going sends Gerald into a spiral of despair — over what turns out to be a lunch break.
I Am Invited to a Party!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Friendship, Parties, Preparation","Piggie gets her first party invitation and Gerald, the party expert, insists they dress for a fancy party, a pool party and a costume party all at once."
I Broke My Trunk!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Storytelling, Friendship, Humor","Gerald spins out the long, increasingly absurd story of how he broke his trunk, with a punchline that lands on Piggie."
I Love Monet / Colorier vos propres tableaux de Monet,Mudpuppy,Coloring Book,"Monet, Impressionism, Coloring",A coloring book reproducing Monet's paintings as line art for coloring in. (Two copies on hand.)
I Love My New Toy!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Sharing, Friendship, Play","Piggie's wonderful new toy gets broken during play, and the friends discover that a friend is far better than a toy."
I Really Like Slop!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Food, Trying New Things, Friendship","Piggie invites Gerald to taste her beloved slop, and Gerald tries it anyway because that is what friends do."
I Want My Hat Back,Jon Klassen,Children's Picture Book,"Humor, Deadpan, Animals","A bear questions the other animals about his missing red hat, in flat deadpan dialogue with a quietly sinister payoff. Klassen's debut as author-illustrator."
I Will Surprise My Friend!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Friendship, Misunderstandings","Gerald and Piggie each sneak off to surprise the other, spend the day missing each other completely, and end up surprised by how much they care."
I Will Take a Nap!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Sleep, Dreams, Humor","Grumpy Gerald wants a quiet nap, gets a snoring Piggie instead, and slips into a very strange dream involving a squirrel."
I'm a Frog!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Pretending, Imagination, Anxiety",Piggie announces she is a frog and Gerald panics about the rules of pretending before discovering he can play too.
If He Had Been with Me,Laura Nowlin,Young Adult Fiction,"Grief, Friendship, Unrequited Love","Autumn and Finn grew up next door to each other and drifted into different crowds, and the novel opens by telling you how it ends."
If Only I Had Told Her,Laura Nowlin,Young Adult Fiction,"Grief, Friendship, Unrequited Love","The companion to If He Had Been with Me, retelling and continuing the story from Finn's perspective and beyond."
If You Go Down to the Woods Today,Rachel Piercey (illustrated by Freya Hartas),Children's Poetry / Search-and-Find,"Woodland, Seasons, Poetry","Poems following a woodland through the seasons, each paired with a busy illustration full of animals and objects to find."
If You Lived Here: Houses of the World,Giles Laroche,Children's Nonfiction Picture Book,"Architecture, World Cultures, Homes","Cut-paper collage illustrations tour homes around the world — cave dwellings, houseboats, yurts, stilt houses — with notes on where, when and why each was built."
If You Lived with the Sioux Indians,Ann McGovern,Children's Nonfiction,"Lakota Culture, History","A question-and-answer look at daily life among the Sioux before European settlement — food, clothing, games and family."
In the Beginning: Creation Stories from Around the World,Virginia Hamilton (illustrated by Barry Moser),Children's Anthology,"Creation Myths, World Cultures","Twenty-five creation stories from cultures worldwide, retold with commentary on how each imagines the world's first moments."
Indian Legends of the Pacific Northwest,Ella E. Clark,Folktale Anthology,"Native American Folklore, Pacific Northwest, Oral Tradition","Legends gathered from tribes of Washington, Oregon, Idaho, and British Columbia, with notes on their sources and settings."
Intermediate Geography & Maps Activities,Rand McNally,Workbook,"Geography, Maps",Map-reading and geography activity pages for intermediate grades.
Introduction to Geometry,Richard Rusczyk (Art of Problem Solving),Math Textbook,"Geometry, Problem Solving","A rigorous problem-based introduction to geometry, from angles and triangles through circles, solids and analytic methods."
Island: A Story of the Galápagos,Jason Chin,Children's Nonfiction Picture Book,"Evolution, Islands, Galápagos","The six-million-year life story of a Galápagos island, from volcanic birth through the arrival and evolution of its species to its eventual sinking."
Isles of the Emberdark,Brandon Sanderson,Fantasy,"Cosmere, Voyages, Sho Del","A Cosmere novel following Sixth of the Dusk beyond his home islands. Originally a Kickstarter-era secret project, later published by Tor."
It's Fun to Draw Knights and Castles,Mark Bergin,Art Instruction,"Drawing, Knights, Castles","Simple step-by-step drawings of knights, castles, dragons and siege machines for young artists."
It's Not Summer Without You,Jenny Han,Young Adult Romance,"Summer, Grief, Love Triangle",Belly's summers at Cousins Beach change after a death in the Fisher family. Second of The Summer I Turned Pretty trilogy.
"It's So Amazing! A Book about Eggs, Sperm, Birth, Babies, and Families",Robie H. Harris (illustrated by Michael Emberley),Children's Nonfiction,"Reproduction, Bodies, Families","A frank, age-appropriate explanation of conception, pregnancy, birth and the many shapes families take, guided by a curious bird and bee."
Jim Arnosky's Wild World,Jim Arnosky,Children's Nonfiction,"Wildlife, Nature Observation",A naturalist-illustrator's gathering of paintings and field notes on the animals he has watched across land and water.
Johnny Tremain: A Story of Boston in Revolt,Esther Forbes,Children's Chapter Book / Historical Fiction,"American Revolution, Boston, Apprenticeship",A silversmith's apprentice injures his hand and falls in with the Sons of Liberty in the years before Lexington. Winner of the 1944 Newbery Medal.
Julia Rothman's Ocean Anatomy Activity Book,Julia Rothman,Activity Book,"Ocean, Marine Life, Drawing","Drawing prompts, puzzles and fill-in pages built on the illustrations from Ocean Anatomy. (Four copies on hand.)"
"Just Breathe: Meditation, Mindfulness, Movement, and More","Mallika Chopra (illustrated by Brenna Vaughan, foreword by Deepak Chopra)",Children's Nonfiction / Wellbeing,"Meditation, Mindfulness, Kids' Wellbeing","A guide for tweens to meditation, breathing, mantras, yoga and mindful movement, with practical exercises for handling stress, sleep, focus and big feelings."
Katabasis,R.F. Kuang,Fantasy,"Academia, Underworld, Magic",Two rival Cambridge magick students descend into hell to retrieve their dead advisor's soul. A dark academia fantasy built on classical descent narratives.
Katie and the British Artists,James Mayhew,Children's Picture Book,"Art Appreciation, British Art","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie and the Dinosaurs,James Mayhew,Children's Picture Book,"Art Appreciation, Dinosaurs, Museums","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie and the Impressionists,James Mayhew,Children's Picture Book,"Art Appreciation, Impressionism, Monet","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie and the Mona Lisa,James Mayhew,Children's Picture Book,"Art Appreciation, Renaissance Art, Leonardo","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie and the Spanish Princess,James Mayhew,Children's Picture Book,"Art Appreciation, Velázquez, Spanish Art","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie and the Starry Night,James Mayhew,Children's Picture Book,"Art Appreciation, Van Gogh, Museums","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie and the Sunflowers,James Mayhew,Children's Picture Book,"Art Appreciation, Post-Impressionism, Van Gogh","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
